<TICKER> <PER> <DATE> <TIME> <CLOSE>
USDRUB D 20000901 000000 27.7600000
USDRUB D 20000904 000000 27.7740000
USDRUB D 20000905 000000 27.8400000
USDRUB D 20000906 000000 27.6200000
USDRUB D 20000907 000000 27.8600000
USDRUB D 20000908 000000 27.8780000
USDRUB D 20000911 000000 27.6200000
USDRUB D 20000912 000000 27.5800000
USDRUB D 20000913 000000 27.5700000
USDRUB D 20000914 000000 27.5200000
USDRUB D 20000915 000000 27.4900000
USDRUB D 20000918 000000 27.5200000
USDRUB D 20000919 000000 27.7700000
USDRUB D 20000920 000000 27.6400000
USDRUB D 20000921 000000 27.7950000
USDRUB D 20000922 000000 28.2000000
USDRUB D 20000925 000000 27.6200000
USDRUB D 20000926 000000 27.5900000
USDRUB D 20000927 000000 27.5200000
USDRUB D 20000928 000000 27.5000000
USDRUB D 20000929 000000 27.5300000
USDRUB D 20001002 000000 27.5100000
USDRUB D 20001003 000000 27.7780000
USDRUB D 20001004 000000 27.6100000
USDRUB D 20001005 000000 27.6000000
USDRUB D 20001006 000000 27.7000000
USDRUB D 20001009 000000 27.7100000
USDRUB D 20001010 000000 27.6900000
USDRUB D 20001011 000000 27.6200000
USDRUB D 20001012 000000 27.6800000
USDRUB D 20001013 000000 27.6200000
USDRUB D 20001016 000000 27.8600000
USDRUB D 20001017 000000 27.5900000
USDRUB D 20001018 000000 27.6900000
USDRUB D 20001019 000000 27.6700000
USDRUB D 20001020 000000 27.7100000
USDRUB D 20001023 000000 27.7000000
USDRUB D 20001024 000000 27.6700000
USDRUB D 20001025 000000 27.6700000
USDRUB D 20001026 000000 27.9300000
USDRUB D 20001027 000000 27.5800000
USDRUB D 20001030 000000 27.5900000
USDRUB D 20001031 000000 27.6300000
USDRUB D 20001101 000000 27.6100000
USDRUB D 20001102 000000 27.6200000
USDRUB D 20001103 000000 27.6000000
USDRUB D 20001106 000000 27.5900000
USDRUB D 20001107 000000 27.5600000
USDRUB D 20001108 000000 27.5900000
USDRUB D 20001109 000000 27.5000000
USDRUB D 20001110 000000 27.8200000
USDRUB D 20001113 000000 27.5100000
USDRUB D 20001114 000000 27.7300000
USDRUB D 20001115 000000 27.4800000
USDRUB D 20001116 000000 27.8000000
USDRUB D 20001117 000000 27.8230000
USDRUB D 20001120 000000 27.8490000
USDRUB D 20001121 000000 27.8400000
USDRUB D 20001122 000000 27.6700000
USDRUB D 20001123 000000 27.9200000
USDRUB D 20001124 000000 27.6700000
USDRUB D 20001127 000000 27.8700000
USDRUB D 20001128 000000 27.6300000
USDRUB D 20001129 000000 27.8700000
USDRUB D 20001130 000000 27.6900000
USDRUB D 20001201 000000 27.6400000
USDRUB D 20001204 000000 27.9300000
USDRUB D 20001205 000000 27.7100000
USDRUB D 20001206 000000 27.6400000
USDRUB D 20001207 000000 27.7100000
USDRUB D 20001208 000000 27.7400000
USDRUB D 20001211 000000 27.9700000
USDRUB D 20001212 000000 27.6800000
USDRUB D 20001213 000000 27.7300000
USDRUB D 20001214 000000 27.6900000
USDRUB D 20001215 000000 27.7200000
USDRUB D 20001218 000000 27.7200000
USDRUB D 20001219 000000 27.6400000
USDRUB D 20001220 000000 27.7400000
USDRUB D 20001221 000000 27.9600000
USDRUB D 20001222 000000 27.6400000
USDRUB D 20001226 000000 28.1700000
USDRUB D 20001227 000000 28.4100000
USDRUB D 20001228 000000 28.3700000
USDRUB D 20001229 000000 28.2900000
USDRUB D 20010102 000000 28.2800000
USDRUB D 20010103 000000 28.5670000
