<TICKER> <PER> <DATE> <TIME> <CLOSE>
XAU D 20000901 000000 276.5000000
XAU D 20000905 000000 275.2500000
XAU D 20000906 000000 274.0000000
XAU D 20000907 000000 273.9000000
XAU D 20000908 000000 272.7000000
XAU D 20000911 000000 272.6500000
XAU D 20000912 000000 272.7000000
XAU D 20000913 000000 272.5000000
XAU D 20000914 000000 272.1000000
XAU D 20000915 000000 272.0500000
XAU D 20000918 000000 271.3000000
XAU D 20000919 000000 271.7500000
XAU D 20000920 000000 269.2000000
XAU D 20000921 000000 270.1500000
XAU D 20000922 000000 271.9000000
XAU D 20000925 000000 273.8000000
XAU D 20000926 000000 274.1000000
XAU D 20000927 000000 278.3000000
XAU D 20000928 000000 275.2000000
XAU D 20000929 000000 274.0000000
XAU D 20001002 000000 273.3000000
XAU D 20001003 000000 272.0000000
XAU D 20001004 000000 270.5000000
XAU D 20001005 000000 269.1500000
XAU D 20001006 000000 269.4000000
XAU D 20001009 000000 270.1500000
XAU D 20001010 000000 272.5000000
XAU D 20001011 000000 270.8000000
XAU D 20001012 000000 276.0500000
XAU D 20001013 000000 272.4000000
XAU D 20001016 000000 271.8000000
XAU D 20001017 000000 271.0000000
XAU D 20001018 000000 270.4000000
XAU D 20001019 000000 270.6000000
XAU D 20001020 000000 271.3000000
XAU D 20001023 000000 270.1000000
XAU D 20001024 000000 270.4000000
XAU D 20001025 000000 266.5000000
XAU D 20001026 000000 265.3500000
XAU D 20001027 000000 264.4200000
XAU D 20001030 000000 264.4000000
XAU D 20001031 000000 264.2500000
XAU D 20001101 000000 263.8500000
XAU D 20001102 000000 264.4000000
XAU D 20001103 000000 264.9500000
XAU D 20001106 000000 264.7000000
XAU D 20001107 000000 264.2000000
XAU D 20001108 000000 264.8000000
XAU D 20001109 000000 265.5000000
XAU D 20001110 000000 264.5000000
XAU D 20001113 000000 264.2000000
XAU D 20001114 000000 264.2000000
XAU D 20001115 000000 264.7500000
XAU D 20001121 000000 265.8500000
XAU D 20001122 000000 266.4000000
XAU D 20001124 000000 265.7000000
XAU D 20001127 000000 269.8000000
XAU D 20001128 000000 269.2000000
XAU D 20001129 000000 266.7000000
XAU D 20001130 000000 270.5000000
XAU D 20001201 000000 269.1500000
XAU D 20001204 000000 270.9000000
XAU D 20001205 000000 270.1000000
XAU D 20001206 000000 274.5000000
XAU D 20001207 000000 273.3500000
XAU D 20001208 000000 272.2500000
XAU D 20001211 000000 270.6000000
XAU D 20001212 000000 271.1000000
XAU D 20001213 000000 268.9500000
XAU D 20001214 000000 269.6000000
XAU D 20001215 000000 270.4000000
XAU D 20001218 000000 269.6500000
XAU D 20001219 000000 270.0000000
XAU D 20001220 000000 273.4000000
XAU D 20001221 000000 274.2000000
XAU D 20001222 000000 273.7000000
XAU D 20001226 000000 274.2000000
XAU D 20001227 000000 275.3000000
XAU D 20001228 000000 272.3000000
XAU D 20001229 000000 272.1000000
XAU D 20010102 000000 268.7500000
XAU D 20010103 000000 267.4500000
XAU D 20010104 000000 267.3000000
XAU D 20010105 000000 267.8000000
XAU D 20010108 000000 268.0000000
XAU D 20010109 000000 267.6000000
XAU D 20010110 000000 264.5500000
XAU D 20010111 000000 263.9000000
XAU D 20010112 000000 263.7500000
XAU D 20010116 000000 263.2500000
XAU D 20010117 000000 263.3500000
XAU D 20010118 000000 264.7500000
XAU D 20010119 000000 264.3500000
XAU D 20010122 000000 266.4500000
XAU D 20010123 000000 266.0500000
XAU D 20010124 000000 264.2000000
XAU D 20010125 000000 264.7000000
XAU D 20010126 000000 262.5500000
XAU D 20010129 000000 263.0000000
XAU D 20010130 000000 265.3500000
XAU D 20010131 000000 265.4500000
XAU D 20010201 000000 268.0500000
XAU D 20010202 000000 267.2000000
XAU D 20010205 000000 265.3000000
XAU D 20010206 000000 263.4000000
XAU D 20010207 000000 263.1000000
XAU D 20010208 000000 260.4000000
XAU D 20010209 000000 260.1500000
XAU D 20010212 000000 261.1000000
XAU D 20010213 000000 260.7000000
XAU D 20010214 000000 259.6000000
XAU D 20010215 000000 255.5500000
XAU D 20010216 000000 258.7000000
XAU D 20010220 000000 256.2000000
XAU D 20010221 000000 258.3000000
XAU D 20010222 000000 258.8000000
XAU D 20010223 000000 261.3000000
XAU D 20010226 000000 266.6000000
XAU D 20010227 000000 268.0000000
XAU D 20010228 000000 266.9000000
XAU D 20010301 000000 265.4000000
XAU D 20010302 000000 262.6000000
XAU D 20010305 000000 262.8000000
XAU D 20010306 000000 260.5000000
XAU D 20010307 000000 262.2000000
XAU D 20010308 000000 266.5000000
XAU D 20010309 000000 271.5000000
XAU D 20010312 000000 272.3000000
XAU D 20010313 000000 268.1500000
XAU D 20010314 000000 263.3500000
XAU D 20010315 000000 260.4000000
XAU D 20010316 000000 258.8000000
XAU D 20010319 000000 260.4000000
XAU D 20010320 000000 261.3000000
XAU D 20010321 000000 262.6000000
XAU D 20010322 000000 261.8000000
XAU D 20010323 000000 262.1500000
XAU D 20010326 000000 262.4000000
XAU D 20010327 000000 261.3000000
XAU D 20010328 000000 259.8000000
XAU D 20010329 000000 258.7000000
XAU D 20010330 000000 257.7000000
XAU D 20010402 000000 255.3000000
XAU D 20010403 000000 256.7500000
XAU D 20010404 000000 258.2000000
XAU D 20010405 000000 258.3000000
XAU D 20010406 000000 259.8000000
XAU D 20010409 000000 258.2500000
XAU D 20010410 000000 257.2500000
XAU D 20010411 000000 258.5000000
XAU D 20010412 000000 259.9000000
XAU D 20010416 000000 263.1000000
XAU D 20010417 000000 260.8000000
XAU D 20010418 000000 261.0000000
